hap_cluster	pop	hap_id	CYP6P4_nonsyn
0	UGS	AC0090-Ca	1
0	UGS	AC0090-Cb	1
0	UGS	AC0091-Ca	1
0	UGS	AC0091-Cb	1
0	UGS	AC0092-Ca	1
0	UGS	AC0092-Cb	1
0	UGS	AC0093-Ca	1
1	UGS	AC0093-Cb	0
1	UGS	AC0094-Ca	0
0	UGS	AC0094-Cb	1
0	UGS	AC0095-Ca	1
0	UGS	AC0095-Cb	1
1	UGS	AC0096-Ca	0
0	UGS	AC0096-Cb	1
0	UGS	AC0097-Ca	1
2	UGS	AC0097-Cb	0
0	UGS	AC0098-Ca	1
0	UGS	AC0098-Cb	1
3	UGS	AC0099-Ca	1
4	UGS	AC0099-Cb	1
0	UGS	AC0100-Ca	1
0	UGS	AC0100-Cb	1
1	UGS	AC0101-Ca	0
0	UGS	AC0101-Cb	1
1	UGS	AC0102-Ca	0
0	UGS	AC0102-Cb	1
0	UGS	AC0103-Ca	1
0	UGS	AC0103-Cb	1
5	UGS	AC0104-Ca	0
0	UGS	AC0104-Cb	1
0	UGS	AC0106-Ca	1
1	UGS	AC0106-Cb	0
1	UGS	AC0107-Ca	0
0	UGS	AC0107-Cb	1
6	UGS	AC0108-Ca	1
0	UGS	AC0108-Cb	1
7	UGS	AC0109-Ca	0
1	UGS	AC0109-Cb	0
0	UGS	AC0110-Ca	1
0	UGS	AC0110-Cb	1
0	UGS	AC0111-Ca	1
1	UGS	AC0111-Cb	0
0	UGS	AC0112-Ca	1
8	UGS	AC0112-Cb	0
0	UGS	AC0113-Ca	1
9	UGS	AC0113-Cb	0
10	UGS	AC0114-Ca	0
0	UGS	AC0114-Cb	1
11	UGS	AC0115-Ca	0
0	UGS	AC0115-Cb	1
12	UGS	AC0116-Ca	1
13	UGS	AC0116-Cb	0
14	UGS	AC0117-Ca	0
15	UGS	AC0117-Cb	0
0	UGS	AC0118-Ca	1
1	UGS	AC0118-Cb	0
16	UGS	AC0119-Ca	0
0	UGS	AC0119-Cb	1
17	UGS	AC0120-Ca	1
18	UGS	AC0120-Cb	0
19	UGS	AC0121-Ca	1
0	UGS	AC0121-Cb	1
1	UGS	AC0122-Ca	0
20	UGS	AC0122-Cb	1
1	UGS	AC0123-Ca	0
19	UGS	AC0123-Cb	1
1	UGS	AC0124-Ca	0
0	UGS	AC0124-Cb	1
0	UGS	AC0125-Ca	1
0	UGS	AC0125-Cb	1
0	UGS	AC0126-Ca	1
0	UGS	AC0126-Cb	1
1	UGS	AC0127-Ca	0
21	UGS	AC0127-Cb	0
22	UGS	AC0128-Ca	1
0	UGS	AC0128-Cb	1
0	UGS	AC0129-Ca	1
1	UGS	AC0129-Cb	0
1	UGS	AC0130-Ca	0
23	UGS	AC0130-Cb	0
1	UGS	AC0131-Ca	0
0	UGS	AC0131-Cb	1
1	UGS	AC0132-Ca	0
0	UGS	AC0132-Cb	1
0	UGS	AC0133-Ca	1
8	UGS	AC0133-Cb	0
0	UGS	AC0135-Ca	1
24	UGS	AC0135-Cb	0
0	UGS	AC0136-Ca	1
0	UGS	AC0136-Cb	1
25	UGS	AC0137-Ca	0
26	UGS	AC0137-Cb	1
0	UGS	AC0138-Ca	1
0	UGS	AC0138-Cb	1
0	UGS	AC0139-Ca	1
0	UGS	AC0139-Cb	1
1	UGS	AC0140-Ca	0
0	UGS	AC0140-Cb	1
0	UGS	AC0142-Ca	1
0	UGS	AC0142-Cb	1
0	UGS	AC0143-Ca	1
0	UGS	AC0143-Cb	1
0	UGS	AC0144-Ca	1
0	UGS	AC0144-Cb	1
8	UGS	AC0145-Ca	0
0	UGS	AC0145-Cb	1
0	UGS	AC0147-Ca	1
1	UGS	AC0147-Cb	0
0	UGS	AC0148-Ca	1
0	UGS	AC0148-Cb	1
1	UGS	AC0149-Ca	0
0	UGS	AC0149-Cb	1
27	UGS	AC0150-Ca	0
28	UGS	AC0150-Cb	0
29	UGS	AC0151-Ca	0
30	UGS	AC0151-Cb	1
0	UGS	AC0152-Ca	1
21	UGS	AC0152-Cb	0
1	UGS	AC0153-Ca	0
0	UGS	AC0153-Cb	1
21	UGS	AC0154-Ca	0
1	UGS	AC0154-Cb	0
24	UGS	AC0156-Ca	0
0	UGS	AC0156-Cb	1
31	UGS	AC0158-Ca	0
32	UGS	AC0158-Cb	0
0	UGS	AC0159-Ca	1
19	UGS	AC0159-Cb	1
0	UGS	AC0160-Ca	1
21	UGS	AC0160-Cb	0
33	UGS	AC0161-Ca	0
0	UGS	AC0161-Cb	1
34	UGS	AC0162-Ca	0
0	UGS	AC0162-Cb	1
0	UGS	AC0163-Ca	1
1	UGS	AC0163-Cb	0
1	UGS	AC0164-Ca	0
0	UGS	AC0164-Cb	1
0	UGS	AC0166-Ca	1
0	UGS	AC0166-Cb	1
1	UGS	AC0167-Ca	0
0	UGS	AC0167-Cb	1
0	UGS	AC0168-Ca	1
0	UGS	AC0168-Cb	1
1	UGS	AC0169-Ca	0
35	UGS	AC0169-Cb	0
36	UGS	AC0170-Ca	0
0	UGS	AC0170-Cb	1
0	UGS	AC0171-Ca	1
0	UGS	AC0171-Cb	1
0	UGS	AC0172-Ca	1
0	UGS	AC0172-Cb	1
0	UGS	AC0173-Ca	1
0	UGS	AC0173-Cb	1
0	UGS	AC0174-Ca	1
33	UGS	AC0174-Cb	0
0	UGS	AC0176-Ca	1
21	UGS	AC0176-Cb	0
10	UGS	AC0178-Ca	0
1	UGS	AC0178-Cb	0
37	UGS	AC0179-Ca	0
21	UGS	AC0179-Cb	0
1	UGS	AC0180-Ca	0
0	UGS	AC0180-Cb	1
0	UGS	AC0181-Ca	1
0	UGS	AC0181-Cb	1
1	UGS	AC0182-Ca	0
38	UGS	AC0182-Cb	0
0	UGS	AC0183-Ca	1
0	UGS	AC0183-Cb	1
39	UGS	AC0184-Ca	0
0	UGS	AC0184-Cb	1
7	UGS	AC0186-Ca	0
0	UGS	AC0186-Cb	1
0	UGS	AC0187-Ca	1
0	UGS	AC0187-Cb	1
0	UGS	AC0188-Ca	1
1	UGS	AC0188-Cb	0
0	UGS	AC0189-Ca	1
1	UGS	AC0189-Cb	0
0	UGS	AC0190-Ca	1
0	UGS	AC0190-Cb	1
0	UGS	AC0191-Ca	1
0	UGS	AC0191-Cb	1
1	UGS	AC0192-Ca	0
7	UGS	AC0192-Cb	0
0	UGS	AC0193-Ca	1
0	UGS	AC0193-Cb	1
8	UGS	AC0194-Ca	0
0	UGS	AC0194-Cb	1
0	UGS	AC0195-Ca	1
1	UGS	AC0195-Cb	0
0	UGS	AC0196-Ca	1
40	UGS	AC0196-Cb	0
0	UGS	AC0197-Ca	1
0	UGS	AC0197-Cb	1
0	UGS	AC0199-Ca	1
0	UGS	AC0199-Cb	1
21	UGS	AC0200-Ca	0
19	UGS	AC0200-Cb	1
1	UGS	AC0201-Ca	0
0	UGS	AC0201-Cb	1
0	UGS	AC0202-Ca	1
9	UGS	AC0202-Cb	0
0	UGS	AC0203-Ca	1
19	UGS	AC0203-Cb	1
